Date,sero,daily_death,sero_lower,sero_upper
2020/1/1,,0,,
2020/1/2,,0,,
2020/1/3,,0,,
2020/1/4,,0,,
2020/1/5,,0,,
2020/1/6,,0,,
2020/1/7,,0,,
2020/1/8,,0,,
2020/1/9,,0,,
2020/1/10,,0,,
2020/1/11,,0,,
2020/1/12,,0,,
2020/1/13,,0,,
2020/1/14,,0,,
2020/1/15,,0,,
2020/1/16,,0,,
2020/1/17,,0,,
2020/1/18,,0,,
2020/1/19,,0,,
2020/1/20,,0,,
2020/1/21,,0,,
2020/1/22,,0,,
2020/1/23,,0,,
2020/1/24,,0,,
2020/1/25,,0,,
2020/1/26,,0,,
2020/1/27,,0,,
2020/1/28,,0,,
2020/1/29,,0,,
2020/1/30,,0,,
2020/1/31,,0,,
2020/2/1,,0,,
2020/2/2,,0,,
2020/2/3,,0,,
2020/2/4,,0,,
2020/2/5,,0,,
2020/2/6,,0,,
2020/2/7,,0,,
2020/2/8,,0,,
2020/2/9,,0,,
2020/2/10,,0,,
2020/2/11,,0,,
2020/2/12,,0,,
2020/2/13,,0,,
2020/2/14,,0,,
2020/2/15,,0,,
2020/2/16,,0,,
2020/2/17,,0,,
2020/2/18,,0,,
2020/2/19,,0,,
2020/2/20,,0,,
2020/2/21,,0,,
2020/2/22,,0,,
2020/2/23,,0,,
2020/2/24,,0,,
2020/2/25,,0,,
2020/2/26,,0,,
2020/2/27,,0,,
2020/2/28,,0,,
2020/2/29,,0,,
2020/3/1,,0,,
2020/3/2,,0,,
2020/3/3,,0,,
2020/3/4,,1,,
2020/3/5,,0,,
2020/3/6,,1,,
2020/3/7,,0,,
2020/3/8,,0,,
2020/3/9,,2,,
2020/3/10,,1,,
2020/3/11,,2,,
2020/3/12,,6,,
2020/3/13,,6,,
2020/3/14,,10,,
2020/3/15,,8,,
2020/3/16,,14,,
2020/3/17,,26,,
2020/3/18,,28,,
2020/3/19,,31,,
2020/3/20,,50,,
2020/3/21,,55,,
2020/3/22,,64,,
2020/3/23,,69,,
2020/3/24,,97,,
2020/3/25,,135,,
2020/3/26,,146,,
2020/3/27,,155,,
2020/3/28,,148,,
2020/3/29,0.026,175,0.01,0.042
2020/3/30,,196,,
2020/3/31,,239,,
2020/4/1,,237,,
2020/4/2,,255,,
2020/4/3,,267,,
2020/4/4,,287,,
2020/4/5,,272,,
2020/4/6,,272,,
2020/4/7,,295,,
2020/4/8,,327,,
2020/4/9,,275,,
