Date,daily_death_Yorkshire_Humber
2020/1/1,0
2020/1/2,0
2020/1/3,0
2020/1/4,0
2020/1/5,0
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/11,0
2020/1/12,0
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/18,0
2020/1/19,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/25,0
2020/1/26,0
2020/1/27,0
2020/1/28,0
2020/1/29,0
2020/1/30,0
2020/1/31,0
2020/2/1,0
2020/2/2,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,0
2020/2/15,0
2020/2/16,0
2020/2/17,0
2020/2/18,0
2020/2/19,0
2020/2/20,0
2020/2/21,0
2020/2/22,0
2020/2/23,0
2020/2/24,0
2020/2/25,0
2020/2/26,0
2020/2/27,0
2020/2/28,0
2020/2/29,0
2020/3/1,0
2020/3/2,0
2020/3/3,0
2020/3/4,0
2020/3/5,0
2020/3/6,0
2020/3/7,0
2020/3/8,0
2020/3/9,0
2020/3/10,0
2020/3/11,0
2020/3/12,0
2020/3/13,0
2020/3/14,0
2020/3/15,2
2020/3/16,2
2020/3/17,2
2020/3/18,2
2020/3/19,1
2020/3/20,2
2020/3/21,2
2020/3/22,2
2020/3/23,6
2020/3/24,7
2020/3/25,8
2020/3/26,16
2020/3/27,20
2020/3/28,25
2020/3/29,32
2020/3/30,32
2020/3/31,42
2020/4/1,42
2020/4/2,55
2020/4/3,65
2020/4/4,75
2020/4/5,68
2020/4/6,72
2020/4/7,83
2020/4/8,102
2020/4/9,100
2020/4/10,103
2020/4/11,77
2020/4/12,91
2020/4/13,86
2020/4/14,93
2020/4/15,109
2020/4/16,121
2020/4/17,116
2020/4/18,94
2020/4/19,101
2020/4/20,101
2020/4/21,98
2020/4/22,108
2020/4/23,92
2020/4/24,98
2020/4/25,79
2020/4/26,81
2020/4/27,91
2020/4/28,79
2020/4/29,102
2020/4/30,81
2020/5/1,77
2020/5/2,68
2020/5/3,62
2020/5/4,74
2020/5/5,61
2020/5/6,65
2020/5/7,69
2020/5/8,64
2020/5/9,61
2020/5/10,58
2020/5/11,40
2020/5/12,39
2020/5/13,49
