Date,sero,daily_death,sero_lower,sero_upper
01/01/2020,,0,,
02/01/2020,,0,,
03/01/2020,,0,,
04/01/2020,,0,,
05/01/2020,,0,,
06/01/2020,,0,,
07/01/2020,,0,,
08/01/2020,,0,,
09/01/2020,,0,,
10/01/2020,,0,,
11/01/2020,,0,,
12/01/2020,,0,,
13/01/2020,,0,,
14/01/2020,,0,,
15/01/2020,,0,,
16/01/2020,,0,,
17/01/2020,,0,,
18/01/2020,,0,,
19/01/2020,,0,,
20/01/2020,,0,,
21/01/2020,,0,,
22/01/2020,,0,,
23/01/2020,,0,,
24/01/2020,,0,,
25/01/2020,,0,,
26/01/2020,,0,,
27/01/2020,,0,,
28/01/2020,,0,,
29/01/2020,,0,,
30/01/2020,,1,,
31/01/2020,,0,,
01/02/2020,,0,,
02/02/2020,,0,,
03/02/2020,,0,,
04/02/2020,,0,,
05/02/2020,,0,,
06/02/2020,,0,,
07/02/2020,,0,,
08/02/2020,,0,,
09/02/2020,,0,,
10/02/2020,,0,,
11/02/2020,,0,,
12/02/2020,,0,,
13/02/2020,,0,,
14/02/2020,,0,,
15/02/2020,,0,,
16/02/2020,,0,,
17/02/2020,,0,,
18/02/2020,,0,,
19/02/2020,,0,,
20/02/2020,,0,,
21/02/2020,,0,,
22/02/2020,,0,,
23/02/2020,,0,,
24/02/2020,,0,,
25/02/2020,,0,,
26/02/2020,,0,,
27/02/2020,,0,,
28/02/2020,,0,,
29/02/2020,,0,,
01/03/2020,,0,,
02/03/2020,,0,,
03/03/2020,,0,,
04/03/2020,,0,,
05/03/2020,,2,,
06/03/2020,,0,,
07/03/2020,,0,,
08/03/2020,,0,,
09/03/2020,,1,,
10/03/2020,,0,,
11/03/2020,,0,,
12/03/2020,,0,,
13/03/2020,,2,,
14/03/2020,,3,,
15/03/2020,,7,,
16/03/2020,,9,,
17/03/2020,,7,,
18/03/2020,,13,,
19/03/2020,,9,,
20/03/2020,,16,,
21/03/2020,,15,,
22/03/2020,,31,,
23/03/2020,,27,,
24/03/2020,,31,,
25/03/2020,,39,,
26/03/2020,,48,,
27/03/2020,,53,,
28/03/2020,,47,,
29/03/2020,,65,,
30/03/2020,,85,,
31/03/2020,,86,,
01/04/2020,,96,,
02/04/2020,,103,,
03/04/2020,,106,,
04/04/2020,,145,,
05/04/2020,,135,,
06/04/2020,,140,,
07/04/2020,,154,,
08/04/2020,,161,,
09/04/2020,,194,,
10/04/2020,,174,,
11/04/2020,,171,,
12/04/2020,,165,,
13/04/2020,,159,,
14/04/2020,,150,,
15/04/2020,,158,,
16/04/2020,,176,,
