Date,daily_death_WestMidlands
2020/1/1,0
2020/1/2,0
2020/1/3,0
2020/1/4,0
2020/1/5,0
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/11,0
2020/1/12,0
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/18,0
2020/1/19,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/25,0
2020/1/26,0
2020/1/27,0
2020/1/28,0
2020/1/29,0
2020/1/30,0
2020/1/31,0
2020/2/1,0
2020/2/2,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,0
2020/2/15,0
2020/2/16,0
2020/2/17,0
2020/2/18,0
2020/2/19,0
2020/2/20,0
2020/2/21,0
2020/2/22,0
2020/2/23,0
2020/2/24,0
2020/2/25,0
2020/2/26,0
2020/2/27,0
2020/2/28,0
2020/2/29,0
2020/3/1,0
2020/3/2,0
2020/3/3,0
2020/3/4,0
2020/3/5,0
2020/3/6,0
2020/3/7,0
2020/3/8,1
2020/3/9,1
2020/3/10,1
2020/3/11,1
2020/3/12,4
2020/3/13,2
2020/3/14,2
2020/3/15,4
2020/3/16,8
2020/3/17,8
2020/3/18,9
2020/3/19,8
2020/3/20,19
2020/3/21,17
2020/3/22,23
2020/3/23,29
2020/3/24,30
2020/3/25,45
2020/3/26,55
2020/3/27,59
2020/3/28,76
2020/3/29,77
2020/3/30,87
2020/3/31,114
2020/4/1,131
2020/4/2,137
2020/4/3,102
2020/4/4,127
2020/4/5,135
2020/4/6,115
2020/4/7,112
2020/4/8,162
2020/4/9,128
2020/4/10,133
2020/4/11,146
2020/4/12,136
2020/4/13,119
2020/4/14,117
2020/4/15,133
2020/4/16,131
2020/4/17,141
2020/4/18,123
2020/4/19,107
2020/4/20,106
2020/4/21,112
2020/4/22,99
2020/4/23,112
2020/4/24,85
2020/4/25,92
2020/4/26,107
2020/4/27,84
2020/4/28,66
2020/4/29,71
2020/4/30,68
2020/5/1,82
2020/5/2,71
2020/5/3,65
2020/5/4,70
2020/5/5,67
2020/5/6,55
2020/5/7,58
2020/5/8,51
2020/5/9,50
2020/5/10,47
2020/5/11,35
2020/5/12,43
2020/5/13,54
2020/5/14,41
