Date,daily_death_EastMidlands,sero,sero_lower,sero_upper
01/01/2020,0,,,
02/01/2020,0,,,
03/01/2020,0,,,
04/01/2020,0,,,
05/01/2020,0,,,
06/01/2020,0,,,
07/01/2020,0,,,
08/01/2020,0,,,
09/01/2020,0,,,
10/01/2020,0,,,
11/01/2020,0,,,
12/01/2020,0,,,
13/01/2020,0,,,
14/01/2020,0,,,
15/01/2020,0,,,
16/01/2020,0,,,
17/01/2020,0,,,
18/01/2020,0,,,
19/01/2020,0,,,
20/01/2020,0,,,
21/01/2020,0,,,
22/01/2020,0,,,
23/01/2020,0,,,
24/01/2020,0,,,
25/01/2020,0,,,
26/01/2020,0,,,
27/01/2020,0,,,
28/01/2020,0,,,
29/01/2020,0,,,
30/01/2020,0,,,
31/01/2020,0,,,
01/02/2020,0,,,
02/02/2020,0,,,
03/02/2020,0,,,
04/02/2020,0,,,
05/02/2020,0,,,
06/02/2020,0,,,
07/02/2020,0,,,
08/02/2020,0,,,
09/02/2020,0,,,
10/02/2020,0,,,
11/02/2020,0,,,
12/02/2020,0,,,
13/02/2020,0,,,
14/02/2020,0,,,
15/02/2020,0,,,
16/02/2020,0,,,
17/02/2020,0,,,
18/02/2020,0,,,
19/02/2020,0,,,
20/02/2020,0,,,
21/02/2020,0,,,
22/02/2020,0,,,
23/02/2020,0,,,
24/02/2020,0,,,
25/02/2020,0,,,
26/02/2020,0,,,
27/02/2020,0,,,
28/02/2020,0,,,
29/02/2020,0,,,
01/03/2020,0,,,
02/03/2020,0,,,
03/03/2020,0,,,
04/03/2020,0,,,
05/03/2020,0,,,
06/03/2020,0,,,
07/03/2020,0,,,
08/03/2020,0,,,
09/03/2020,0,,,
10/03/2020,0,,,
11/03/2020,1,,,
12/03/2020,1,,,
13/03/2020,1,,,
14/03/2020,0,,,
15/03/2020,0,,,
16/03/2020,4,,,
17/03/2020,1,,,
18/03/2020,4,,,
19/03/2020,3,,,
20/03/2020,6,,,
21/03/2020,4,,,
22/03/2020,12,,,
23/03/2020,10,,,
24/03/2020,17,,,
25/03/2020,12,,,
26/03/2020,18,,,
27/03/2020,24,,,
28/03/2020,29,,,
29/03/2020,27,,,
30/03/2020,27,,,
31/03/2020,44,,,
01/04/2020,50,,,
02/04/2020,55,,,
03/04/2020,62,,,
04/04/2020,74,,,
05/04/2020,81,0.021,0.012,0.04
06/04/2020,82,,,
07/04/2020,62,,,
08/04/2020,80,,,
09/04/2020,89,,,
10/04/2020,78,,,
11/04/2020,86,,,
12/04/2020,92,,,
13/04/2020,74,,,
14/04/2020,88,,,
